,,,,
,,Flywheel-1,,
,,Angular Displacement1 (deg),,
Frame,Time,Ref. Coordinate System: ,,
586,3.900,-1.7950E+02,,
587,3.907,1.7712E+02,,
588,3.913,1.7374E+02,,
589,3.920,1.7035E+02,,
590,3.927,1.6697E+02,,
591,3.933,1.6359E+02,,
592,3.940,1.6020E+02,,
593,3.947,1.5682E+02,,
594,3.953,1.5343E+02,,
595,3.960,1.5005E+02,,
596,3.967,1.4667E+02,,
597,3.973,1.4328E+02,,
598,3.980,1.3990E+02,,
599,3.987,1.3652E+02,,
600,3.993,1.3313E+02,,
601,4.000,1.2975E+02,,
602,4.007,1.2636E+02,,
603,4.013,1.2298E+02,,
604,4.020,1.1960E+02,,
605,4.027,1.1621E+02,,
606,4.033,1.1283E+02,,
607,4.040,1.0945E+02,,
608,4.047,1.0606E+02,,
609,4.053,1.0268E+02,,
610,4.060,9.9294E+01,,
611,4.067,9.5910E+01,,
612,4.073,9.2527E+01,,
613,4.080,8.9143E+01,,
614,4.087,8.5759E+01,,
615,4.093,8.2375E+01,,
616,4.100,7.8992E+01,,
617,4.107,7.5608E+01,,
618,4.113,7.2224E+01,,
619,4.120,6.8840E+01,,
620,4.127,6.5457E+01,,
621,4.133,6.2073E+01,,
622,4.140,5.8689E+01,,
623,4.147,5.5305E+01,,
624,4.153,5.1922E+01,,
625,4.160,4.8538E+01,,
626,4.167,4.5154E+01,,
627,4.173,4.1770E+01,,
628,4.180,3.8387E+01,,
629,4.187,3.5003E+01,,
630,4.193,3.1619E+01,,
631,4.200,2.8235E+01,,
632,4.207,2.4852E+01,,
633,4.213,2.1468E+01,,
634,4.220,1.8084E+01,,
635,4.227,1.4700E+01,,
636,4.233,1.1317E+01,,
637,4.240,7.9329E+00,,
638,4.247,4.5491E+00,,
639,4.253,1.1654E+00,,
640,4.260,-2.2184E+00,,
641,4.267,-5.6021E+00,,
642,4.273,-8.9859E+00,,
643,4.280,-1.2370E+01,,
644,4.287,-1.5753E+01,,
645,4.293,-1.9137E+01,,
646,4.300,-2.2521E+01,,
647,4.307,-2.5905E+01,,
648,4.313,-2.9288E+01,,
649,4.320,-3.2672E+01,,
650,4.327,-3.6056E+01,,
651,4.333,-3.9440E+01,,
652,4.340,-4.2823E+01,,
653,4.347,-4.6207E+01,,
654,4.353,-4.9591E+01,,
655,4.360,-5.2975E+01,,
656,4.367,-5.6358E+01,,
657,4.373,-5.9742E+01,,
658,4.380,-6.3126E+01,,
659,4.387,-6.6510E+01,,
660,4.393,-6.9893E+01,,
661,4.400,-7.3277E+01,,
662,4.407,-7.6661E+01,,
663,4.413,-8.0045E+01,,
664,4.420,-8.3428E+01,,
665,4.427,-8.6812E+01,,
666,4.433,-9.0196E+01,,
667,4.440,-9.3580E+01,,
668,4.447,-9.6963E+01,,
669,4.453,-1.0035E+02,,
670,4.460,-1.0373E+02,,
671,4.467,-1.0711E+02,,
672,4.473,-1.1050E+02,,
673,4.480,-1.1388E+02,,
674,4.487,-1.1727E+02,,
675,4.493,-1.2065E+02,,
676,4.500,-1.2403E+02,,
677,4.507,-1.2742E+02,,
678,4.513,-1.3080E+02,,
679,4.520,-1.3418E+02,,
680,4.527,-1.3757E+02,,
681,4.533,-1.4095E+02,,
682,4.540,-1.4434E+02,,
683,4.547,-1.4772E+02,,
684,4.553,-1.5110E+02,,
685,4.560,-1.5449E+02,,
686,4.567,-1.5787E+02,,
687,4.573,-1.6125E+02,,
688,4.580,-1.6464E+02,,
689,4.587,-1.6802E+02,,
690,4.593,-1.7141E+02,,
691,4.600,-1.7479E+02,,
692,4.607,-1.7817E+02,,
693,4.613,1.7844E+02,,
694,4.620,1.7506E+02,,
695,4.627,1.7168E+02,,
696,4.633,1.6829E+02,,
697,4.640,1.6491E+02,,
698,4.647,1.6152E+02,,
699,4.653,1.5814E+02,,
700,4.660,1.5476E+02,,
701,4.667,1.5137E+02,,
702,4.673,1.4799E+02,,
703,4.680,1.4461E+02,,
704,4.687,1.4122E+02,,
705,4.693,1.3784E+02,,
706,4.700,1.3445E+02,,
707,4.707,1.3107E+02,,
708,4.713,1.2769E+02,,
709,4.720,1.2430E+02,,
710,4.727,1.2092E+02,,
711,4.733,1.1754E+02,,
712,4.740,1.1415E+02,,
713,4.747,1.1077E+02,,
714,4.753,1.0738E+02,,
715,4.760,1.0400E+02,,
716,4.767,1.0062E+02,,
717,4.773,9.7233E+01,,
718,4.780,9.3849E+01,,
719,4.787,9.0465E+01,,
720,4.793,8.7081E+01,,
721,4.800,8.3698E+01,,
722,4.807,8.0314E+01,,
723,4.813,7.6930E+01,,
724,4.820,7.3546E+01,,
725,4.827,7.0163E+01,,
726,4.833,6.6779E+01,,
727,4.840,6.3395E+01,,
728,4.847,6.0011E+01,,
729,4.853,5.6628E+01,,
730,4.860,5.3244E+01,,
731,4.867,4.9860E+01,,
732,4.873,4.6476E+01,,
733,4.880,4.3093E+01,,
734,4.887,3.9709E+01,,
735,4.893,3.6325E+01,,
736,4.900,3.2941E+01,,
737,4.907,2.9558E+01,,
738,4.913,2.6174E+01,,
739,4.920,2.2790E+01,,
740,4.927,1.9406E+01,,
741,4.933,1.6023E+01,,
742,4.940,1.2639E+01,,
743,4.947,9.2550E+00,,
744,4.953,5.8713E+00,,
745,4.960,2.4875E+00,,
746,4.967,-8.9623E-01,,
747,4.973,-4.2800E+00,,
748,4.980,-7.6637E+00,,
749,4.987,-1.1047E+01,,
750,4.993,-1.4431E+01,,
751,5.000,-1.7815E+01,,
752,5.007,-2.1199E+01,,
753,5.013,-2.4583E+01,,
754,5.020,-2.7966E+01,,
755,5.027,-3.1350E+01,,
756,5.033,-3.4734E+01,,
757,5.040,-3.8118E+01,,
758,5.047,-4.1501E+01,,
759,5.053,-4.4885E+01,,
760,5.060,-4.8269E+01,,
761,5.067,-5.1653E+01,,
762,5.073,-5.5036E+01,,
763,5.080,-5.8420E+01,,
764,5.087,-6.1804E+01,,
765,5.093,-6.5188E+01,,
766,5.100,-6.8571E+01,,
767,5.107,-7.1955E+01,,
768,5.113,-7.5339E+01,,
769,5.120,-7.8723E+01,,
770,5.127,-8.2106E+01,,
771,5.133,-8.5490E+01,,
772,5.140,-8.8874E+01,,
773,5.147,-9.2258E+01,,
774,5.153,-9.5641E+01,,
775,5.160,-9.9025E+01,,
776,5.167,-1.0241E+02,,
777,5.173,-1.0579E+02,,
778,5.180,-1.0918E+02,,
779,5.187,-1.1256E+02,,
780,5.193,-1.1594E+02,,
781,5.200,-1.1933E+02,,
782,5.207,-1.2271E+02,,
783,5.213,-1.2610E+02,,
784,5.220,-1.2948E+02,,
785,5.227,-1.3286E+02,,
786,5.233,-1.3625E+02,,
787,5.240,-1.3963E+02,,
788,5.247,-1.4301E+02,,
789,5.253,-1.4640E+02,,
790,5.260,-1.4978E+02,,
791,5.267,-1.5317E+02,,
792,5.273,-1.5655E+02,,
793,5.280,-1.5993E+02,,
794,5.287,-1.6332E+02,,
795,5.293,-1.6670E+02,,
796,5.300,-1.7008E+02,,
797,5.307,-1.7347E+02,,
798,5.313,-1.7685E+02,,
799,5.320,1.7976E+02,,
800,5.327,1.7638E+02,,
801,5.333,1.7300E+02,,
802,5.340,1.6961E+02,,
803,5.347,1.6623E+02,,
804,5.353,1.6285E+02,,
805,5.360,1.5946E+02,,
806,5.367,1.5608E+02,,
807,5.373,1.5269E+02,,
808,5.380,1.4931E+02,,
809,5.387,1.4593E+02,,
810,5.393,1.4254E+02,,
811,5.400,1.3916E+02,,
812,5.407,1.3578E+02,,
813,5.413,1.3239E+02,,
814,5.420,1.2901E+02,,
815,5.427,1.2562E+02,,
816,5.433,1.2224E+02,,
817,5.440,1.1886E+02,,
818,5.447,1.1547E+02,,
819,5.453,1.1209E+02,,
820,5.460,1.0871E+02,,
821,5.467,1.0532E+02,,
822,5.473,1.0194E+02,,
823,5.480,9.8555E+01,,
824,5.487,9.5171E+01,,
825,5.493,9.1787E+01,,
826,5.500,8.8403E+01,,
827,5.507,8.5020E+01,,
828,5.513,8.1636E+01,,
829,5.520,7.8252E+01,,
830,5.527,7.4868E+01,,
831,5.533,7.1485E+01,,
832,5.540,6.8101E+01,,
833,5.547,6.4717E+01,,
834,5.553,6.1333E+01,,
